Prior disorder,Later disorder,Sex,Model,HR,Lower,Upper
MDE,Adult SAD,F,A,18.7,15.4,22.7
MDE,Child SAD,F,A,,,
MDE,Anorexia nervosa,F,A,,,
MDE,Bulimia nervosa,F,A,30.8,18.8,50.5
MDE,Binge eating disorder,F,A,18.2,15,22
MDE,IED,F,A,9.4,7.9,11.1
MDE,ADHD,F,A,,,
MDE,Conduct disorder,F,A,4.7,3.6,6.2
MDE,ODD,F,A,8.3,6.5,10.5
MDE,Nicotine dependence,F,A,5.4,4.9,6
MDE,Alcohol abuse,F,A,2.6,2.3,2.8
MDE,Alcohol dependence,F,A,4.5,3.8,5.2
MDE,Drug abuse,F,A,4.9,4.2,5.6
MDE,Drug dependence,F,A,6.9,5.5,8.5
MDE,Bipolar disorder,M,A,24.5,21.4,28.1
MDE,Dysthymia,M,A,79.4,70,90.1
MDE,Panic disorder,M,A,24.8,21.8,28.2
MDE,GAD,M,A,32.4,29.9,35.1
MDE,Social phobia,M,A,20,18.4,21.8
MDE,Specific phobia,M,A,15.9,14.7,17.3
MDE,Agoraphobia,M,A,21.5,18.4,25.1
MDE,PTSD,M,A,25,22.3,27.9
MDE,OCD,M,A,,,
MDE,Adult SAD,M,A,17.5,15.1,20.3
MDE,Child SAD,M,A,,,
MDE,Anorexia nervosa,M,A,,,
MDE,Bulimia nervosa,M,A,,,
MDE,Binge eating disorder,M,A,12.4,10,15.3
MDE,IED,M,A,15,13.1,17.2
MDE,ADHD,M,A,,,
MDE,Conduct disorder,M,A,,,
MDE,ODD,M,A,,,
MDE,Nicotine dependence,M,A,8,7.1,8.9
MDE,Alcohol abuse,M,A,9,8.4,9.6
MDE,Alcohol dependence,M,A,16.9,15.1,18.8
MDE,Drug abuse,M,A,11.8,10.6,13.1
MDE,Drug dependence,M,A,18.6,15.9,21.8
MDE,Bipolar disorder,F,B,9.3,7.6,11.4
MDE,Dysthymia,F,B,65.7,55.6,77.7
MDE,Panic disorder,F,B,14.4,11.6,17.8
MDE,GAD,F,B,23.1,20.4,26.1
MDE,Social phobia,F,B,10.8,9.6,12.1
MDE,Specific phobia,F,B,15.6,14.1,17.2
MDE,Agoraphobia,F,B,11.7,9.4,14.4
MDE,PTSD,F,B,25.9,22.4,30
MDE,OCD,F,B,,,
MDE,Adult SAD,F,B,7.7,6.1,9.7
MDE,Child SAD,F,B,,,
MDE,Anorexia nervosa,F,B,,,
MDE,Bulimia nervosa,F,B,9.2,5.4,15.6
MDE,Binge eating disorder,F,B,8.6,6.8,10.9
MDE,IED,F,B,5.5,4.5,6.8
MDE,ADHD,F,B,,,
MDE,Conduct disorder,F,B,1.6,1.1,2.3
MDE,ODD,F,B,3.5,2.7,4.6
MDE,Nicotine dependence,F,B,3.5,3.1,3.9
MDE,Alcohol abuse,F,B,1.7,1.5,1.9
MDE,Alcohol dependence,F,B,2.4,2,3
MDE,Drug abuse,F,B,2.9,2.5,3.5
MDE,Drug dependence,F,B,3.2,2.4,4.3
MDE,Bipolar disorder,M,B,12.3,10.1,15
MDE,Dysthymia,M,B,59.8,51,70
MDE,Panic disorder,M,B,12.8,10.6,15.6
MDE,GAD,M,B,20.2,18.1,22.6
MDE,Social phobia,M,B,10.8,9.5,12.1
MDE,Specific phobia,M,B,10,9,11.1
MDE,Agoraphobia,M,B,8.5,6.9,10.5
MDE,PTSD,M,B,14.6,12.4,17.1
MDE,OCD,M,B,,,
MDE,Adult SAD,M,B,6.4,5.1,8
MDE,Child SAD,M,B,,,
MDE,Anorexia nervosa,M,B,,,
MDE,Bulimia nervosa,M,B,,,
MDE,Binge eating disorder,M,B,6.1,4.7,8
MDE,IED,M,B,8,6.7,9.6
MDE,ADHD,M,B,,,
MDE,Conduct disorder,M,B,,,
MDE,ODD,M,B,,,
MDE,Nicotine dependence,M,B,4.6,4,5.3
MDE,Alcohol abuse,M,B,5.1,4.7,5.6
MDE,Alcohol dependence,M,B,6.9,5.8,8.2
MDE,Drug abuse,M,B,5.5,4.7,6.4
MDE,Drug dependence,M,B,6.8,5.2,8.8
Bipolar disorder,MDE,All,A,16.2,14.9,17.5
Bipolar disorder,Dysthymia,All,A,27.8,23.9,32.3
Bipolar disorder,Panic disorder,All,A,18.3,15.5,21.7
Bipolar disorder,GAD,All,A,19.6,17.5,22
Bipolar disorder,Social phobia,All,A,16.9,15,19
Bipolar disorder,Specific phobia,All,A,15.2,13.7,16.8
Bipolar disorder,Agoraphobia,All,A,26.7,22.7,31.5
Bipolar disorder,PTSD,All,A,20.8,18.1,24
Bipolar disorder,OCD,All,A,23.5,18.2,30.4
Bipolar disorder,Adult SAD,All,A,17.8,14.5,21.8
Bipolar disorder,Child SAD,All,A,,,
Bipolar disorder,Anorexia nervosa,All,A,,,
Bipolar disorder,Bulimia nervosa,All,A,25.6,16.6,39.4
Bipolar disorder,Binge eating disorder,All,A,15.5,12.6,19.2
Bipolar disorder,IED,All,A,17.4,14.6,20.8
Bipolar disorder,ADHD,All,A,,,
Bipolar disorder,Conduct disorder,All,A,,,
Bipolar disorder,ODD,All,A,,,
Bipolar disorder,Nicotine dependence,All,A,9.9,8.5,11.4
Bipolar disorder,Alcohol abuse,All,A,14.1,12.8,15.5
Bipolar disorder,Alcohol dependence,All,A,23.8,20.7,27.2
Bipolar disorder,Drug abuse,All,A,14.5,12.4,17
Bipolar disorder,Drug dependence,All,A,25.2,20.8,30.4
Bipolar disorder,MDE,All,B,5,4,6.3
Bipolar disorder,Dysthymia,All,B,3.5,2.1,6
Bipolar disorder,Panic disorder,All,B,2,1.2,3.4
Bipolar disorder,GAD,All,B,3.6,2.4,5.4
Bipolar disorder,Social phobia,All,B,2.9,2.1,4.1
Bipolar disorder,Specific phobia,All,B,4.9,3.8,6.3
Bipolar disorder,Agoraphobia,All,B,2,1.4,3.1
Bipolar disorder,PTSD,All,B,3.8,2.5,5.7
Bipolar disorder,OCD,All,B,6.4,3.3,12.3
Bipolar disorder,Adult SAD,All,B,1.5,1.1,2.1
Bipolar disorder,Child SAD,All,B,,,
Bipolar disorder,Anorexia nervosa,All,B,,,
Bipolar disorder,Bulimia nervosa,All,B,3.5,1.4,8.6
Bipolar disorder,Binge eating disorder,All,B,2.9,1.8,4.5
Bipolar disorder,IED,All,B,2.9,1.8,4.7
Bipolar disorder,ADHD,All,B,,,
Bipolar disorder,Conduct disorder,All,B,,,
Bipolar disorder,ODD,All,B,,,
Bipolar disorder,Nicotine dependence,All,B,3.5,2.6,4.8
Bipolar disorder,Alcohol abuse,All,B,6.2,5,7.8
Bipolar disorder,Alcohol dependence,All,B,5.1,3.3,7.8
Bipolar disorder,Drug abuse,All,B,3.4,2.2,5.1
Bipolar disorder,Drug dependence,All,B,4.5,2.5,8
Bipolar disorder,MDE,F,A,25.3,22.6,28.4
Bipolar disorder,Dysthymia,F,A,46,36.9,57.2
Bipolar disorder,Panic disorder,F,A,29.2,22.7,37.7
Bipolar disorder,GAD,F,A,33.5,28.4,39.6
Bipolar disorder,Social phobia,F,A,22.3,19.3,25.8
Bipolar disorder,Specific phobia,F,A,29.4,25.8,33.5
Bipolar disorder,Agoraphobia,F,A,51.6,39.2,67.9
Bipolar disorder,PTSD,F,A,46.4,38.1,56.5
Bipolar disorder,OCD,F,A,,,
Bipolar disorder,Adult SAD,F,A,24.4,19.1,31.1
Bipolar disorder,Child SAD,F,A,,,
Bipolar disorder,Anorexia nervosa,F,A,,,
Bipolar disorder,Bulimia nervosa,F,A,,,
Bipolar disorder,Binge eating disorder,F,A,28.9,21.6,38.5
Bipolar disorder,IED,F,A,16.2,12.5,21
Bipolar disorder,ADHD,F,A,,,
Bipolar disorder,Conduct disorder,F,A,,,
Bipolar disorder,ODD,F,A,,,
Bipolar disorder,Nicotine dependence,F,A,7.2,6,8.7
Bipolar disorder,Alcohol abuse,F,A,5.3,4.5,6.3
Bipolar disorder,Alcohol dependence,F,A,11,8.8,13.8
Bipolar disorder,Drug abuse,F,A,7.4,5.8,9.4
Bipolar disorder,Drug dependence,F,A,13.8,10,19.1
Bipolar disorder,MDE,M,A,17.9,16,20.1
Bipolar disorder,Dysthymia,M,A,29.5,23.3,37.2
Bipolar disorder,Panic disorder,M,A,19.6,15.4,25
Bipolar disorder,GAD,M,A,20.8,17.4,24.8
Bipolar disorder,Social phobia,M,A,,,
Bipolar disorder,Specific phobia,M,A,,,
Bipolar disorder,Agoraphobia,M,A,,,
Bipolar disorder,PTSD,M,A,21.2,16.9,26.5
Bipolar disorder,OCD,M,A,,,
Bipolar disorder,Adult SAD,M,A,16.6,12.5,22.1
Bipolar disorder,Child SAD,M,A,,,
Bipolar disorder,Anorexia nervosa,M,A,,,
Bipolar disorder,Bulimia nervosa,M,A,,,
Bipolar disorder,Binge eating disorder,M,A,14.6,10.4,20.4
Bipolar disorder,IED,M,A,15.1,11.8,19.3
Bipolar disorder,ADHD,M,A,,,
Bipolar disorder,Conduct disorder,M,A,,,
Bipolar disorder,ODD,M,A,,,
Bipolar disorder,Nicotine dependence,M,A,8.2,6.8,9.8
Bipolar disorder,Alcohol abuse,M,A,12.4,11.2,13.8
Bipolar disorder,Alcohol dependence,M,A,20.4,17.3,23.9
Bipolar disorder,Drug abuse,M,A,13.6,11.3,16.4
Bipolar disorder,Drug dependence,M,A,22.9,18.2,28.8
Bipolar disorder,MDE,F,B,6.5,5,8.5
Bipolar disorder,Dysthymia,F,B,5,2.9,8.8
Bipolar disorder,Panic disorder,F,B,2.7,1.6,4.7
Bipolar disorder,GAD,F,B,5.2,3.4,8
Bipolar disorder,Social phobia,F,B,3,2.1,4.2
Bipolar disorder,Specific phobia,F,B,8.8,6.6,11.7
Bipolar disorder,Agoraphobia,F,B,3.3,2,5.5
Bipolar disorder,PTSD,F,B,8,5.2,12.4
Bipolar disorder,OCD,F,B,,,
Bipolar disorder,Adult SAD,F,B,1.7,1.2,2.4
Bipolar disorder,Child SAD,F,B,,,
Bipolar disorder,Anorexia nervosa,F,B,,,
Bipolar disorder,Bulimia nervosa,F,B,,,
Bipolar disorder,Binge eating disorder,F,B,4.3,2.6,7.1
Bipolar disorder,IED,F,B,2.4,1.4,4
Bipolar disorder,ADHD,F,B,,,
Bipolar disorder,Conduct disorder,F,B,,,
Bipolar disorder,ODD,F,B,,,
Bipolar disorder,Nicotine dependence,F,B,2.3,1.6,3.2
Bipolar disorder,Alcohol abuse,F,B,2.2,1.6,3
Bipolar disorder,Alcohol dependence,F,B,2.2,1.4,3.5
Bipolar disorder,Drug abuse,F,B,1.7,1,2.7
Bipolar disorder,Drug dependence,F,B,2.4,1.2,4.7
Bipolar disorder,MDE,M,B,6.6,5.3,8.4
Bipolar disorder,Dysthymia,M,B,4.6,2.6,7.9
Bipolar disorder,Panic disorder,M,B,2.8,1.7,4.8
Bipolar disorder,GAD,M,B,4.8,3.1,7.4
Bipolar disorder,Social phobia,M,B,,,
Bipolar disorder,Specific phobia,M,B,,,
Bipolar disorder,Agoraphobia,M,B,,,
Bipolar disorder,PTSD,M,B,4.3,2.8,6.6
Bipolar disorder,OCD,M,B,,,
Bipolar disorder,Adult SAD,M,B,1.7,1.1,2.6
Bipolar disorder,Child SAD,M,B,,,
Bipolar disorder,Anorexia nervosa,M,B,,,
Bipolar disorder,Bulimia nervosa,M,B,,,
Bipolar disorder,Binge eating disorder,M,B,3.6,2.1,6.2
Bipolar disorder,IED,M,B,2.7,1.6,4.7
Bipolar disorder,ADHD,M,B,,,
Bipolar disorder,Conduct disorder,M,B,,,
Bipolar disorder,ODD,M,B,,,
Bipolar disorder,Nicotine dependence,M,B,3.3,2.3,4.6
Bipolar disorder,Alcohol abuse,M,B,5.7,4.6,7.2
Bipolar disorder,Alcohol dependence,M,B,4.6,3,7.1
Bipolar disorder,Drug abuse,M,B,3.2,2.1,5
Bipolar disorder,Drug dependence,M,B,4.2,2.3,7.4
Dysthymia,MDE,All,A,28.6,26.9,30.4
Dysthymia,Bipolar disorder,All,A,24.6,20.6,29.4
Dysthymia,Panic disorder,All,A,22.9,19.2,27.3
Dysthymia,GAD,All,A,29.8,26.9,32.9
Dysthymia,Social phobia,All,A,20.5,18.4,22.8
Dysthymia,Specific phobia,All,A,13.7,12.4,15.1
Dysthymia,Agoraphobia,All,A,22,18.4,26.3
Dysthymia,PTSD,All,A,23.2,20.3,26.6
Dysthymia,OCD,All,A,,,
Dysthymia,Adult SAD,All,A,18.9,14.6,24.5
Dysthymia,Child SAD,All,A,,,
Dysthymia,Anorexia nervosa,All,A,,,
Dysthymia,Bulimia nervosa,All,A,,,
Dysthymia,Binge eating disorder,All,A,13.7,10.7,17.6
Dysthymia,IED,All,A,15.9,12.7,19.9
Dysthymia,ADHD,All,A,,,
Dysthymia,Conduct disorder,All,A,,,
Dysthymia,ODD,All,A,,,
Dysthymia,Nicotine dependence,All,A,8,7,9.2
Dysthymia,Alcohol abuse,All,A,9.6,8.6,10.8
Dysthymia,Alcohol dependence,All,A,24,20.8,27.7
Dysthymia,Drug abuse,All,A,12.7,10.4,15.4
Dysthymia,Drug dependence,All,A,28,22.3,35.2
Dysthymia,MDE,All,B,15.7,13.9,17.7
Dysthymia,Bipolar disorder,All,B,6.4,3.6,11.3
Dysthymia,Panic disorder,All,B,4.8,3.2,7.2
Dysthymia,GAD,All,B,13.9,11.2,17.2
Dysthymia,Social phobia,All,B,8.2,6.4,10.5
Dysthymia,Specific phobia,All,B,6.6,5.3,8.1
Dysthymia,Agoraphobia,All,B,2.7,1.6,4.6
Dysthymia,PTSD,All,B,9.8,7.6,12.7
Dysthymia,OCD,All,B,,,
Dysthymia,Adult SAD,All,B,4.5,2,10.3
Dysthymia,Child SAD,All,B,,,
Dysthymia,Anorexia nervosa,All,B,,,
Dysthymia,Bulimia nervosa,All,B,,,
Dysthymia,Binge eating disorder,All,B,5.5,3,10
Dysthymia,IED,All,B,5,3.1,8.1
Dysthymia,ADHD,All,B,,,
Dysthymia,Conduct disorder,All,B,,,
Dysthymia,ODD,All,B,,,
Dysthymia,Nicotine dependence,All,B,2.4,1.7,3.4
Dysthymia,Alcohol abuse,All,B,3.6,2.7,4.8
Dysthymia,Alcohol dependence,All,B,7,4.5,10.9
Dysthymia,Drug abuse,All,B,3.5,2,6
Dysthymia,Drug dependence,All,B,5.5,2.5,12
Dysthymia,MDE,F,A,42.8,39.6,46.4
Dysthymia,Bipolar disorder,F,A,21.5,16.9,27.5
Dysthymia,Panic disorder,F,A,33,26.9,40.6
Dysthymia,GAD,F,A,46.9,41.2,53.4
Dysthymia,Social phobia,F,A,26.1,22.7,30
Dysthymia,Specific phobia,F,A,25.2,22.4,28.3
Dysthymia,Agoraphobia,F,A,44.6,35.1,56.8
Dysthymia,PTSD,F,A,44.3,36.7,53.6
Dysthymia,OCD,F,A,,,
Dysthymia,Adult SAD,F,A,26.4,19.9,35
Dysthymia,Child SAD,F,A,,,
Dysthymia,Anorexia nervosa,F,A,,,
Dysthymia,Bulimia nervosa,F,A,,,
Dysthymia,Binge eating disorder,F,A,22.4,16.7,29.9
Dysthymia,IED,F,A,12.1,8.9,16.3
Dysthymia,ADHD,F,A,,,
Dysthymia,Conduct disorder,F,A,,,
Dysthymia,ODD,F,A,,,
Dysthymia,Nicotine dependence,F,A,5.2,4.4,6.2
Dysthymia,Alcohol abuse,F,A,3.1,2.5,3.7
Dysthymia,Alcohol dependence,F,A,6.9,5.5,8.7
Dysthymia,Drug abuse,F,A,5.4,4.2,7
Dysthymia,Drug dependence,F,A,11,8,15.1
Dysthymia,MDE,M,A,39.6,35.8,43.9
Dysthymia,Bipolar disorder,M,A,26.7,20.5,34.6
Dysthymia,Panic disorder,M,A,34,26,44.3
Dysthymia,GAD,M,A,42.4,35.9,50
Dysthymia,Social phobia,M,A,24.1,20,29.1
Dysthymia,Specific phobia,M,A,,,
Dysthymia,Agoraphobia,M,A,,,
Dysthymia,PTSD,M,A,31.6,25.3,39.5
Dysthymia,OCD,M,A,,,
Dysthymia,Adult SAD,M,A,23.4,15.4,35.4
Dysthymia,Child SAD,M,A,,,
Dysthymia,Anorexia nervosa,M,A,,,
Dysthymia,Bulimia nervosa,M,A,,,
Dysthymia,Binge eating disorder,M,A,,,
Dysthymia,IED,M,A,,,
Dysthymia,ADHD,M,A,,,
Dysthymia,Conduct disorder,M,A,,,
Dysthymia,ODD,M,A,,,
Dysthymia,Nicotine dependence,M,A,7,5.6,8.7
Dysthymia,Alcohol abuse,M,A,8.7,7.5,10.1
Dysthymia,Alcohol dependence,M,A,24.4,20.6,28.9
Dysthymia,Drug abuse,M,A,12.9,10,16.7
Dysthymia,Drug dependence,M,A,30.1,22.8,39.7
Dysthymia,MDE,F,B,23.1,20.1,26.5
Dysthymia,Bipolar disorder,F,B,5.4,3,9.7
Dysthymia,Panic disorder,F,B,7.3,4.6,11.5
Dysthymia,GAD,F,B,21.3,17,26.8
Dysthymia,Social phobia,F,B,9.6,7.4,12.4
Dysthymia,Specific phobia,F,B,12,9.7,14.8
Dysthymia,Agoraphobia,F,B,5.2,2.9,9.5
Dysthymia,PTSD,F,B,19.4,14.2,26.4
Dysthymia,OCD,F,B,,,
Dysthymia,Adult SAD,F,B,6,2.7,13.5
Dysthymia,Child SAD,F,B,,,
Dysthymia,Anorexia nervosa,F,B,,,
Dysthymia,Bulimia nervosa,F,B,,,
Dysthymia,Binge eating disorder,F,B,8.7,4.7,16
Dysthymia,IED,F,B,3.5,2.2,5.7
Dysthymia,ADHD,F,B,,,
Dysthymia,Conduct disorder,F,B,,,
Dysthymia,ODD,F,B,,,
Dysthymia,Nicotine dependence,F,B,1.5,1,2.1
Dysthymia,Alcohol abuse,F,B,1.2,0.8,1.7
Dysthymia,Alcohol dependence,F,B,2.3,1.4,3.7
Dysthymia,Drug abuse,F,B,1.5,0.8,2.6
Dysthymia,Drug dependence,F,B,2.4,1,5.5
Dysthymia,MDE,M,B,22.8,19.4,26.8
Dysthymia,Bipolar disorder,M,B,7.1,3.8,13.4
Dysthymia,Panic disorder,M,B,6.4,3.9,10.4
Dysthymia,GAD,M,B,21.1,16.2,27.6
Dysthymia,Social phobia,M,B,11.1,8.2,15.1
Dysthymia,Specific phobia,M,B,,,
Dysthymia,Agoraphobia,M,B,,,
Dysthymia,PTSD,M,B,12.7,9.1,17.8
Dysthymia,OCD,M,B,,,
Dysthymia,Adult SAD,M,B,6.2,2.4,16.2
Dysthymia,Child SAD,M,B,,,
Dysthymia,Anorexia nervosa,M,B,,,
Dysthymia,Bulimia nervosa,M,B,,,
Dysthymia,Binge eating disorder,M,B,,,
Dysthymia,IED,M,B,,,
Dysthymia,ADHD,M,B,,,
Dysthymia,Conduct disorder,M,B,,,
Dysthymia,ODD,M,B,,,
Dysthymia,Nicotine dependence,M,B,2.1,1.4,3.4
Dysthymia,Alcohol abuse,M,B,3.1,2.3,4.3
Dysthymia,Alcohol dependence,M,B,6.8,4.2,10.8
Dysthymia,Drug abuse,M,B,3.6,2,6.4
Dysthymia,Drug dependence,M,B,5.6,2.5,12.6
Panic disorder,MDE,All,A,14.9,13.8,16.1
Panic disorder,Bipolar disorder,All,A,21.2,17.4,25.8
Panic disorder,Dysthymia,All,A,29.3,24.4,35.1
Panic disorder,GAD,All,A,22.2,20.1,24.6
Panic disorder,Social phobia,All,A,18.8,16.8,21.1
Panic disorder,Specific phobia,All,A,16.6,15.2,18.1
Panic disorder,Agoraphobia,All,A,39,33.7,45.1
Panic disorder,PTSD,All,A,19.4,16.4,23
Panic disorder,OCD,All,A,16.4,11.7,22.9
Panic disorder,Adult SAD,All,A,16.4,13.3,20.1
Panic disorder,Child SAD,All,A,,,
Panic disorder,Anorexia nervosa,All,A,,,
Panic disorder,Bulimia nervosa,All,A,,,
Panic disorder,Binge eating disorder,All,A,13.6,10.7,17.4
Panic disorder,IED,All,A,12.7,10.6,15.3
Panic disorder,ADHD,All,A,,,
Panic disorder,Conduct disorder,All,A,,,
Panic disorder,ODD,All,A,,,
Panic disorder,Nicotine dependence,All,A,8.1,7.1,9.4
Panic disorder,Alcohol abuse,All,A,9.8,8.7,11
Panic disorder,Alcohol dependence,All,A,23.2,19.3,27.8
Panic disorder,Drug abuse,All,A,13.1,10.9,15.7
Panic disorder,Drug dependence,All,A,21.2,16.7,26.9
Panic disorder,MDE,All,B,8.6,7.5,9.9
Panic disorder,Bipolar disorder,All,B,6.2,3.7,10.4
Panic disorder,Dysthymia,All,B,10.3,6.9,15.3
Panic disorder,GAD,All,B,10.3,8.3,12.6
Panic disorder,Social phobia,All,B,6.2,4.5,8.5
Panic disorder,Specific phobia,All,B,9,7.6,10.7
Panic disorder,Agoraphobia,All,B,11.6,7.5,17.7
Panic disorder,PTSD,All,B,8.9,6.1,13
Panic disorder,OCD,All,B,7,3.4,14.4
Panic disorder,Adult SAD,All,B,3,1.6,5.8
Panic disorder,Child SAD,All,B,,,
Panic disorder,Anorexia nervosa,All,B,,,
Panic disorder,Bulimia nervosa,All,B,,,
Panic disorder,Binge eating disorder,All,B,5.8,3.3,10.3
Panic disorder,IED,All,B,4.5,2.5,8.3
Panic disorder,ADHD,All,B,,,
Panic disorder,Conduct disorder,All,B,,,
Panic disorder,ODD,All,B,,,
Panic disorder,Nicotine dependence,All,B,3.3,2.3,4.6
Panic disorder,Alcohol abuse,All,B,5.5,4.4,6.8
Panic disorder,Alcohol dependence,All,B,8.2,5.3,12.7
Panic disorder,Drug abuse,All,B,4.5,2.9,7
Panic disorder,Drug dependence,All,B,3.5,1.5,8.1
Panic disorder,MDE,F,A,23.1,21.2,25.2
Panic disorder,Bipolar disorder,F,A,18.9,14.4,24.7
Panic disorder,Dysthymia,F,A,44.3,36.9,53.2
Panic disorder,GAD,F,A,36.9,32.2,42.3
Panic disorder,Social phobia,F,A,23.1,20,26.6
Panic disorder,Specific phobia,F,A,31,27.5,34.9
Panic disorder,Agoraphobia,F,A,66.1,53.3,81.8
Panic disorder,PTSD,F,A,39,32.5,46.8
Panic disorder,OCD,F,A,,,
Panic disorder,Adult SAD,F,A,24.6,19.2,31.5
Panic disorder,Child SAD,F,A,,,
Panic disorder,Anorexia nervosa,F,A,,,
Panic disorder,Bulimia nervosa,F,A,,,
Panic disorder,Binge eating disorder,F,A,22.9,16.7,31.5
Panic disorder,IED,F,A,10.1,7.7,13.2
Panic disorder,ADHD,F,A,,,
Panic disorder,Conduct disorder,F,A,,,
Panic disorder,ODD,F,A,,,
Panic disorder,Nicotine dependence,F,A,5.7,4.9,6.8
Panic disorder,Alcohol abuse,F,A,3.3,2.8,4
Panic disorder,Alcohol dependence,F,A,8.2,6.3,10.7
Panic disorder,Drug abuse,F,A,6.5,5.1,8.2
Panic disorder,Drug dependence,F,A,10.1,7.3,13.8
Panic disorder,MDE,M,A,19.6,17.2,22.2
Panic disorder,Bipolar disorder,M,A,23.2,17.2,31.4
Panic disorder,Dysthymia,M,A,43.7,32.4,59
Panic disorder,GAD,M,A,28,23.5,33.2
Panic disorder,Social phobia,M,A,22.5,18.6,27.2
Panic disorder,Specific phobia,M,A,,,
Panic disorder,Agoraphobia,M,A,,,
Panic disorder,PTSD,M,A,24.6,17.6,34.5
Panic disorder,OCD,M,A,,,
Panic disorder,Adult SAD,M,A,,,
Panic disorder,Child SAD,M,A,,,
Panic disorder,Anorexia nervosa,M,A,,,
Panic disorder,Bulimia nervosa,M,A,,,
Panic disorder,Binge eating disorder,M,A,,,
Panic disorder,IED,M,A,,,
Panic disorder,ADHD,M,A,,,
Panic disorder,Conduct disorder,M,A,,,
Panic disorder,ODD,M,A,,,
Panic disorder,Nicotine dependence,M,A,6.5,5.3,8
Panic disorder,Alcohol abuse,M,A,8.5,7.3,9.9
Panic disorder,Alcohol dependence,M,A,21.9,17.4,27.6
Panic disorder,Drug abuse,M,A,12.3,9.6,15.7
Panic disorder,Drug dependence,M,A,21.3,15.8,28.6
Panic disorder,MDE,F,B,13.3,11.6,15.3
Panic disorder,Bipolar disorder,F,B,5.5,3.3,9.2
Panic disorder,Dysthymia,F,B,15.1,10.6,21.5
Panic disorder,GAD,F,B,17,13.6,21.3
Panic disorder,Social phobia,F,B,7.3,5.5,9.6
Panic disorder,Specific phobia,F,B,17.2,14.2,20.9
Panic disorder,Agoraphobia,F,B,19.5,12.1,31.6
Panic disorder,PTSD,F,B,17.5,12.4,24.9
Panic disorder,OCD,F,B,,,
Panic disorder,Adult SAD,F,B,4.4,2.3,8.5
Panic disorder,Child SAD,F,B,,,
Panic disorder,Anorexia nervosa,F,B,,,
Panic disorder,Bulimia nervosa,F,B,,,
Panic disorder,Binge eating disorder,F,B,9.7,5.3,17.8
Panic disorder,IED,F,B,3.6,1.9,6.7
Panic disorder,ADHD,F,B,,,
Panic disorder,Conduct disorder,F,B,,,
Panic disorder,ODD,F,B,,,
Panic disorder,Nicotine dependence,F,B,2.3,1.6,3.2
Panic disorder,Alcohol abuse,F,B,1.9,1.4,2.4
Panic disorder,Alcohol dependence,F,B,2.9,1.9,4.4
